id,code,first_name,second_name,web_name,photo,element_type,season
287,111234,Jordan,Pickford,Pickford,https://resources.premierleague.com/premierleague25/photos/players/110x140/111234.png,1,2526
288,229600,Mark,Travers,Travers,https://resources.premierleague.com/premierleague25/photos/players/110x140/229600.png,1,2526
289,447325,Harry,Tyrer,Tyrer,https://resources.premierleague.com/premierleague25/photos/players/110x140/447325.png,1,2526
290,480455,Jarrad,Branthwaite,Branthwaite,https://resources.premierleague.com/premierleague25/photos/players/110x140/480455.png,2,2526
291,17761,James,Tarkowski,Tarkowski,https://resources.premierleague.com/premierleague25/photos/players/110x140/17761.png,2,2526
292,224967,Vitalii,Mykolenko,Mykolenko,https://resources.premierleague.com/premierleague25/photos/players/110x140/224967.png,2,2526
293,512462,Jake,O'Brien,O'Brien,https://resources.premierleague.com/premierleague25/photos/players/110x140/512462.png,2,2526
294,59949,Séamus,Coleman,Coleman,https://resources.premierleague.com/premierleague25/photos/players/110x140/59949.png,2,2526
295,106611,Michael,Keane,Keane,https://resources.premierleague.com/premierleague25/photos/players/110x140/106611.png,2,2526
296,243571,Nathan,Patterson,Patterson,https://resources.premierleague.com/premierleague25/photos/players/110x140/243571.png,2,2526
297,496178,Roman,Dixon,Dixon,https://resources.premierleague.com/premierleague25/photos/players/110x140/496178.png,2,2526
298,474907,Reece,Welch,Welch,https://resources.premierleague.com/premierleague25/photos/players/110x140/474907.png,2,2526
299,440993,Iliman,Ndiaye,Ndiaye,https://resources.premierleague.com/premierleague25/photos/players/110x140/440993.png,3,2526
300,433154,Dwight,McNeil,McNeil,https://resources.premierleague.com/premierleague25/photos/players/110x140/433154.png,3,2526
301,502697,Carlos,Alcaraz Durán,Alcaraz,https://resources.premierleague.com/premierleague25/photos/players/110x140/502697.png,3,2526
302,80801,Idrissa Gana,Gueye,Gana,https://resources.premierleague.com/premierleague25/photos/players/110x140/80801.png,3,2526
303,232928,James,Garner,Garner,https://resources.premierleague.com/premierleague25/photos/players/110x140/232928.png,3,2526
